yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
P50591	P50591	TNF10_HUMAN	TNFSF10 APO2L TRAIL	Homo sapiens (Human)
Q13489	Q13489	BIRC3_HUMAN	BIRC3 API2 MIHC RNF49	Homo sapiens (Human)
O95819	O95819	M4K4_HUMAN	MAP4K4 HGK KIAA0687 NIK	Homo sapiens (Human)
Q92851	Q92851	CASPA_HUMAN	CASP10 MCH4	Homo sapiens (Human)
P51572	P51572	BAP31_HUMAN	BCAP31 BAP31 DXS1357E	Homo sapiens (Human)
Q9NWB7	Q9NWB7	IFT57_HUMAN	IFT57 DERP8 ESRRBL1 HIPPI	Homo sapiens (Human)
Q9NZS9	Q9NZS9	BFAR_HUMAN	BFAR BAR RNF47	Homo sapiens (Human)
Q9UKL3	Q9UKL3	C8AP2_HUMAN	CASP8AP2 FLASH KIAA1315 RIP25	Homo sapiens (Human)
O00291	O00291	HIP1_HUMAN	HIP1	Homo sapiens (Human)
P08107	P0DMV8	HS71A_HUMAN	HSPA1A HSP72 HSPA1 HSX70	Homo sapiens (Human)
P08107	P0DMV9	HS71B_HUMAN	HSPA1B HSP72	Homo sapiens (Human)
P25024	P25024	CXCR1_HUMAN	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)
P10145	P10145	IL8_HUMAN	CXCL8 IL8	Homo sapiens (Human)
P02775	P02775	CXCL7_HUMAN	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	Homo sapiens (Human)
P42830	P42830	CXCL5_HUMAN	CXCL5 ENA78 SCYB5	Homo sapiens (Human)
P25025	P25025	CXCR2_HUMAN	CXCR2 IL8RB	Homo sapiens (Human)
P80162	P80162	CXCL6_HUMAN	CXCL6 GCP2 SCYB6	Homo sapiens (Human)
P09341	P09341	GROA_HUMAN	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)
P19875	P19875	CXCL2_HUMAN	CXCL2 GRO2 GROB MIP2A SCYB2	Homo sapiens (Human)
P19876	P19876	CXCL3_HUMAN	CXCL3 GRO3 GROG SCYB3	Homo sapiens (Human)
P19174	P19174	PLCG1_HUMAN	PLCG1 PLC1	Homo sapiens (Human)
P07359	P07359	GP1BA_HUMAN	GP1BA	Homo sapiens (Human)
Q9UQM7	Q9UQM7	KCC2A_HUMAN	CAMK2A CAMKA KIAA0968	Homo sapiens (Human)
O75962	O75962	TRIO_HUMAN	TRIO	Homo sapiens (Human)
Q9Y572	Q9Y572	RIPK3_HUMAN	RIPK3 RIP3	Homo sapiens (Human)
Q15418	Q15418	KS6A1_HUMAN	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)
P17252	P17252	KPCA_HUMAN	PRKCA PKCA PRKACA	Homo sapiens (Human)
P45985	P45985	MP2K4_HUMAN	MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1	Homo sapiens (Human)
Q13555	Q13555	KCC2G_HUMAN	CAMK2G CAMK CAMK-II CAMKG	Homo sapiens (Human)
P13569	P13569	CFTR_HUMAN	CFTR ABCC7	Homo sapiens (Human)
P48454	P48454	PP2BC_HUMAN	PPP3CC CALNA3 CNA3	Homo sapiens (Human)
P16298	P16298	PP2BB_HUMAN	PPP3CB CALNA2 CALNB CNA2	Homo sapiens (Human)
Q08209	Q08209	PP2BA_HUMAN	PPP3CA CALNA CNA	Homo sapiens (Human)
P05161	P05161	ISG15_HUMAN	ISG15 G1P2 UCRP	Homo sapiens (Human)
Q9BXR5	Q9BXR5	TLR10_HUMAN	TLR10 UNQ315/PRO358	Homo sapiens (Human)
O75369	O75369	FLNB_HUMAN	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)
O95163	O95163	ELP1_HUMAN	ELP1 IKAP IKBKAP	Homo sapiens (Human)
Q15399	Q15399	TLR1_HUMAN	TLR1 KIAA0012	Homo sapiens (Human)
Q9BZW7	Q9BZW7	TSG10_HUMAN	TSGA10 CEP4L	Homo sapiens (Human)
Q01974	Q01974	ROR2_HUMAN	ROR2 NTRKR2	Homo sapiens (Human)
P56704	P56704	WNT3A_HUMAN	WNT3A	Homo sapiens (Human)
Q9UP38	Q9UP38	FZD1_HUMAN	FZD1	Homo sapiens (Human)
O14640	O14640	DVL1_HUMAN	DVL1	Homo sapiens (Human)
O75581	O75581	LRP6_HUMAN	LRP6	Homo sapiens (Human)
O60353	O60353	FZD6_HUMAN	FZD6	Homo sapiens (Human)
P04628	P04628	WNT1_HUMAN	WNT1 INT1	Homo sapiens (Human)
P34925	P34925	RYK_HUMAN	RYK JTK5A	Homo sapiens (Human)
Q9H461	Q9H461	FZD8_HUMAN	FZD8	Homo sapiens (Human)
O75197	O75197	LRP5_HUMAN	LRP5 LR3 LRP7	Homo sapiens (Human)
Q9NPG1	Q9NPG1	FZD3_HUMAN	FZD3	Homo sapiens (Human)
Q9H237	Q9H237	PORCN_HUMAN	PORCN MG61 PORC PPN	Homo sapiens (Human)
Q14332	Q14332	FZD2_HUMAN	FZD2	Homo sapiens (Human)
O75487	O75487	GPC4_HUMAN	GPC4 UNQ474/PRO937	Homo sapiens (Human)
P08754	P08754	GNAI3_HUMAN	GNAI3	Homo sapiens (Human)
P35462	P35462	DRD3_HUMAN	DRD3	Homo sapiens (Human)
P63096	P63096	GNAI1_HUMAN	GNAI1	Homo sapiens (Human)
P49674	P49674	KC1E_HUMAN	CSNK1E	Homo sapiens (Human)
P35568	P35568	IRS1_HUMAN	IRS1	Homo sapiens (Human)
P29353	P29353	SHC1_HUMAN	SHC1 SHC SHCA	Homo sapiens (Human)
P17706	P17706	PTN2_HUMAN	PTPN2 PTPT	Homo sapiens (Human)
Q13322	Q13322	GRB10_HUMAN	GRB10 GRBIR KIAA0207	Homo sapiens (Human)
Q14451	Q14451	GRB7_HUMAN	GRB7	Homo sapiens (Human)
P24666	P24666	PPAC_HUMAN	ACP1	Homo sapiens (Human)
P51452	P51452	DUS3_HUMAN	DUSP3 VHR	Homo sapiens (Human)
P01112	P01112	RASH_HUMAN	HRAS HRAS1	Homo sapiens (Human)
P54646	P54646	AAPK2_HUMAN	PRKAA2 AMPK AMPK2	Homo sapiens (Human)
O14543	O14543	SOCS3_HUMAN	SOCS3 CIS3 SSI3	Homo sapiens (Human)
O15530	O15530	PDPK1_HUMAN	PDPK1 PDK1	Homo sapiens (Human)
Q05209	Q05209	PTN12_HUMAN	PTPN12	Homo sapiens (Human)
P18031	P18031	PTN1_HUMAN	PTPN1 PTP1B	Homo sapiens (Human)
P23467	P23467	PTPRB_HUMAN	PTPRB PTPB	Homo sapiens (Human)
P10586	P10586	PTPRF_HUMAN	PTPRF LAR	Homo sapiens (Human)
Q12923	Q12923	PTN13_HUMAN	PTPN13 PNP1 PTP1E PTPL1	Homo sapiens (Human)
Q9HD43	Q9HD43	PTPRH_HUMAN	PTPRH SAP1	Homo sapiens (Human)
P23469	P23469	PTPRE_HUMAN	PTPRE	Homo sapiens (Human)
P43378	P43378	PTN9_HUMAN	PTPN9	Homo sapiens (Human)
P01344	P01344	IGF2_HUMAN	IGF2 PP1446	Homo sapiens (Human)
P05019	P05019	IGF1_HUMAN	IGF1 IBP1	Homo sapiens (Human)
P01308	P01308	INS_HUMAN	INS	Homo sapiens (Human)
O14508	O14508	SOCS2_HUMAN	SOCS2 CIS2 SSI2 STATI2	Homo sapiens (Human)
O15524	O15524	SOCS1_HUMAN	SOCS1 SSI1 TIP3	Homo sapiens (Human)
O14512	O14512	SOCS7_HUMAN	SOCS7 NAP4 SOCS6	Homo sapiens (Human)
Q9Y4H2	Q9Y4H2	IRS2_HUMAN	IRS2	Homo sapiens (Human)
O14492	O14492	SH2B2_HUMAN	SH2B2 APS	Homo sapiens (Human)
Q14449	Q14449	GRB14_HUMAN	GRB14	Homo sapiens (Human)
P22413	P22413	ENPP1_HUMAN	ENPP1 M6S1 NPPS PC1 PDNP1	Homo sapiens (Human)
Q9BX66	Q9BX66	SRBS1_HUMAN	SORBS1 KIAA0894 KIAA1296 SH3D5	Homo sapiens (Human)
Q9UEF7	Q9UEF7	KLOT_HUMAN	KL	Homo sapiens (Human)
Q07954	Q07954	LRP1_HUMAN	LRP1 A2MR APR	Homo sapiens (Human)
P14625	P14625	ENPL_HUMAN	HSP90B1 GRP94 TRA1	Homo sapiens (Human)
P01009	P01009	A1AT_HUMAN	SERPINA1 AAT PI PRO0684 PRO2209	Homo sapiens (Human)
P05067	P05067	A4_HUMAN	APP A4 AD1	Homo sapiens (Human)
O00213	O00213	APBB1_HUMAN	APBB1 FE65 RIR	Homo sapiens (Human)
P07996	P07996	TSP1_HUMAN	THBS1 TSP TSP1	Homo sapiens (Human)
P05121	P05121	PAI1_HUMAN	SERPINE1 PAI1 PLANH1	Homo sapiens (Human)
P01023	P01023	A2MG_HUMAN	A2M CPAMD5 FWP007	Homo sapiens (Human)
P01024	P01024	CO3_HUMAN	C3 CPAMD1	Homo sapiens (Human)
P00734	P00734	THRB_HUMAN	F2	Homo sapiens (Human)
P01008	P01008	ANT3_HUMAN	SERPINC1 AT3 PRO0309	Homo sapiens (Human)
P30533	P30533	AMRP_HUMAN	LRPAP1 A2MRAP	Homo sapiens (Human)
P00740	P00740	FA9_HUMAN	F9	Homo sapiens (Human)
P00451	P00451	FA8_HUMAN	F8 F8C	Homo sapiens (Human)
P45452	P45452	MMP13_HUMAN	MMP13	Homo sapiens (Human)
P02788	P02788	TRFL_HUMAN	LTF GIG12 LF	Homo sapiens (Human)
P06858	P06858	LIPL_HUMAN	LPL LIPD	Homo sapiens (Human)
Q01780	Q01780	EXOSX_HUMAN	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)
P00750	P00750	TPA_HUMAN	PLAT	Homo sapiens (Human)
P32246	P32246	CCR1_HUMAN	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens (Human)
P01106	P01106	MYC_HUMAN	MYC BHLHE39	Homo sapiens (Human)
P42345	P42345	MTOR_HUMAN	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)
O15360	O15360	FANCA_HUMAN	FANCA FAA FACA FANCH	Homo sapiens (Human)
P41743	P41743	KPCI_HUMAN	PRKCI DXS1179E	Homo sapiens (Human)
Q9Y6K9	Q9Y6K9	NEMO_HUMAN	IKBKG FIP3 NEMO	Homo sapiens (Human)
P24385	P24385	CCND1_HUMAN	CCND1 BCL1 PRAD1	Homo sapiens (Human)
Q9Y243	Q9Y243	AKT3_HUMAN	AKT3 PKBG	Homo sapiens (Human)
P19838	P19838	NFKB1_HUMAN	NFKB1	Homo sapiens (Human)
Q9UHD2	Q9UHD2	TBK1_HUMAN	TBK1 NAK	Homo sapiens (Human)
P32121	P32121	ARRB2_HUMAN	ARRB2 ARB2 ARR2	Homo sapiens (Human)
P30086	P30086	PEBP1_HUMAN	PEBP1 PBP PEBP	Homo sapiens (Human)
O43318	O43318	M3K7_HUMAN	MAP3K7 TAK1	Homo sapiens (Human)
P46531	P46531	NOTC1_HUMAN	NOTCH1 TAN1	Homo sapiens (Human)
P51617	P51617	IRAK1_HUMAN	IRAK1 IRAK	Homo sapiens (Human)
O75688	O75688	PPM1B_HUMAN	PPM1B PP2CB	Homo sapiens (Human)
Q9H467	Q9H467	CUED2_HUMAN	CUEDC2 C10orf66 HOYS6	Homo sapiens (Human)
P49407	P49407	ARRB1_HUMAN	ARRB1 ARR1	Homo sapiens (Human)
O95999	O95999	BCL10_HUMAN	BCL10 CIPER CLAP	Homo sapiens (Human)
P31751	P31751	AKT2_HUMAN	AKT2	Homo sapiens (Human)
O00141	O00141	SGK1_HUMAN	SGK1 SGK	Homo sapiens (Human)
Q16584	Q16584	M3K11_HUMAN	MAP3K11 MLK3 PTK1 SPRK	Homo sapiens (Human)
P10809	P10809	CH60_HUMAN	HSPD1 HSP60	Homo sapiens (Human)
Q9NX02	Q9NX02	NALP2_HUMAN	NLRP2 NALP2 NBS1 PAN1 PYPAF2	Homo sapiens (Human)
Q9ULZ3	Q9ULZ3	ASC_HUMAN	PYCARD ASC CARD5 TMS1	Homo sapiens (Human)
P01375	P01375	TNFA_HUMAN	TNF TNFA TNFSF2	Homo sapiens (Human)
Q8TEL6	Q8TEL6	TP4AP_HUMAN	TRPC4AP C20orf188 TRRP4AP	Homo sapiens (Human)
P20333	P20333	TNR1B_HUMAN	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)
Q9BVC4	Q9BVC4	LST8_HUMAN	MLST8 GBL LST8	Homo sapiens (Human)
P21580	P21580	TNAP3_HUMAN	TNFAIP3 OTUD7C	Homo sapiens (Human)
P36941	P36941	TNR3_HUMAN	LTBR D12S370 TNFCR TNFR3 TNFRSF3	Homo sapiens (Human)
Q96EY1	Q96EY1	DNJA3_HUMAN	DNAJA3 HCA57 TID1	Homo sapiens (Human)
O94885	O94885	SASH1_HUMAN	SASH1 KIAA0790 PEPE1	Homo sapiens (Human)
Q8IUD2	Q8IUD2	RB6I2_HUMAN	ERC1 ELKS KIAA1081 RAB6IP2	Homo sapiens (Human)
Q86WI3	Q86WI3	NLRC5_HUMAN	NLRC5 NOD27 NOD4	Homo sapiens (Human)
P14373	P14373	TRI27_HUMAN	TRIM27 RFP RNF76	Homo sapiens (Human)
Q8WXC3	Q8WXC3	PYDC1_HUMAN	PYDC1 ASC2 ASCI POP1 PYC1	Homo sapiens (Human)
Q92844	Q92844	TANK_HUMAN	TANK ITRAF TRAF2	Homo sapiens (Human)
Q13425	Q13425	SNTB2_HUMAN	SNTB2 D16S2531E SNT2B2 SNTL	Homo sapiens (Human)
Q15303	Q15303	ERBB4_HUMAN	ERBB4 HER4	Homo sapiens (Human)
P46939	P46939	UTRO_HUMAN	UTRN DMDL DRP1	Homo sapiens (Human)
Q6P0Q8	Q6P0Q8	MAST2_HUMAN	MAST2 KIAA0807 MAST205	Homo sapiens (Human)
Q9Y2H9	Q9Y2H9	MAST1_HUMAN	MAST1 KIAA0973 SAST	Homo sapiens (Human)
P62993	P62993	GRB2_HUMAN	GRB2 ASH	Homo sapiens (Human)
P07225	P07225	PROS_HUMAN	PROS1 PROS	Homo sapiens (Human)
Q14393	Q14393	GAS6_HUMAN	GAS6 AXLLG	Homo sapiens (Human)
Q96RU8	Q96RU8	TRIB1_HUMAN	TRIB1 C8FW GIG2 TRB1	Homo sapiens (Human)
P19022	P19022	CADH2_HUMAN	CDH2 CDHN NCAD	Homo sapiens (Human)
Q9UQB3	Q9UQB3	CTND2_HUMAN	CTNND2 NPRAP	Homo sapiens (Human)
P35221	P35221	CTNA1_HUMAN	CTNNA1	Homo sapiens (Human)
P14923	P14923	PLAK_HUMAN	JUP CTNNG DP3	Homo sapiens (Human)
P22455	P22455	FGFR4_HUMAN	FGFR4 JTK2 TKF	Homo sapiens (Human)
P39086	P39086	GRIK1_HUMAN	GRIK1 GLUR5	Homo sapiens (Human)
O60716	O60716	CTND1_HUMAN	CTNND1 KIAA0384	Homo sapiens (Human)
P26367	P26367	PAX6_HUMAN	PAX6 AN2	Homo sapiens (Human)
P55283	P55283	CADH4_HUMAN	CDH4	Homo sapiens (Human)
Q4KMG0	Q4KMG0	CDON_HUMAN	CDON CDO	Homo sapiens (Human)
P55287	P55287	CAD11_HUMAN	CDH11	Homo sapiens (Human)
P52565	P52565	GDIR1_HUMAN	ARHGDIA GDIA1	Homo sapiens (Human)
P63000	P63000	RAC1_HUMAN	RAC1 TC25 MIG5	Homo sapiens (Human)
P15311	P15311	EZRI_HUMAN	EZR VIL2	Homo sapiens (Human)
P62745	P62745	RHOB_HUMAN	RHOB ARH6 ARHB	Homo sapiens (Human)
P61586	P61586	RHOA_HUMAN	RHOA ARH12 ARHA RHO12	Homo sapiens (Human)
P26038	P26038	MOES_HUMAN	MSN	Homo sapiens (Human)
P35241	P35241	RADI_HUMAN	RDX	Homo sapiens (Human)
P60953	P60953	CDC42_HUMAN	CDC42	Homo sapiens (Human)
P60763	P60763	RAC3_HUMAN	RAC3	Homo sapiens (Human)
P16871	P16871	IL7RA_HUMAN	IL7R	Homo sapiens (Human)
P29466	P29466	CASP1_HUMAN	CASP1 IL1BC IL1BCE	Homo sapiens (Human)
P15153	P15153	RAC2_HUMAN	RAC2	Homo sapiens (Human)
P08134	P08134	RHOC_HUMAN	RHOC ARH9 ARHC	Homo sapiens (Human)
Q15669	Q15669	RHOH_HUMAN	RHOH ARHH TTF	Homo sapiens (Human)
P84095	P84095	RHOG_HUMAN	RHOG ARHG	Homo sapiens (Human)
Q8TEB7	Q8TEB7	RN128_HUMAN	RNF128	Homo sapiens (Human)
P20226	P20226	TBP_HUMAN	TBP GTF2D1 TF2D TFIID	Homo sapiens (Human)
Q16514	Q16514	TAF12_HUMAN	TAF12 TAF15 TAF2J TAFII20	Homo sapiens (Human)
Q92830	Q92830	KAT2A_HUMAN	KAT2A GCN5 GCN5L2	Homo sapiens (Human)
O00268	O00268	TAF4_HUMAN	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)
P21675	P21675	TAF1_HUMAN	TAF1 BA2R CCG1 CCGS TAF2A	Homo sapiens (Human)
Q12962	Q12962	TAF10_HUMAN	TAF10 TAF2A TAF2H TAFII30	Homo sapiens (Human)
Q15542	Q15542	TAF5_HUMAN	TAF5 TAF2D	Homo sapiens (Human)
P49848	P49848	TAF6_HUMAN	TAF6 TAF2E TAFII70	Homo sapiens (Human)
Q15544	Q15544	TAF11_HUMAN	TAF11 TAF2I PRO2134	Homo sapiens (Human)
Q12959	Q12959	DLG1_HUMAN	DLG1	Homo sapiens (Human)
Q06124	Q06124	PTN11_HUMAN	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)
P15498	P15498	VAV_HUMAN	VAV1 VAV	Homo sapiens (Human)
P06127	P06127	CD5_HUMAN	CD5 LEU1	Homo sapiens (Human)
Q13191	Q13191	CBLB_HUMAN	CBLB RNF56 Nbla00127	Homo sapiens (Human)
O43561	O43561	LAT_HUMAN	LAT	Homo sapiens (Human)
P16070	P16070	CD44_HUMAN	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)
P52333	P52333	JAK3_HUMAN	JAK3	Homo sapiens (Human)
P14784	P14784	IL2RB_HUMAN	IL2RB IL15RB	Homo sapiens (Human)
P08581	P08581	MET_HUMAN	MET	Homo sapiens (Human)
P43403	P43403	ZAP70_HUMAN	ZAP70 SRK	Homo sapiens (Human)
P07766	P07766	CD3E_HUMAN	CD3E T3E	Homo sapiens (Human)
P01730	P01730	CD4_HUMAN	CD4	Homo sapiens (Human)
Q9Y2R2	Q9Y2R2	PTN22_HUMAN	PTPN22 PTPN8	Homo sapiens (Human)
P10747	P10747	CD28_HUMAN	CD28	Homo sapiens (Human)
P08637	P08637	FCG3A_HUMAN	FCGR3A CD16A FCG3 FCGR3 IGFR3	Homo sapiens (Human)
Q13588	Q13588	GRAP_HUMAN	GRAP	Homo sapiens (Human)
Q6ISU1	Q6ISU1	PTCRA_HUMAN	PTCRA	Homo sapiens (Human)
Q9BZL6	Q9BZL6	KPCD2_HUMAN	PRKD2 PKD2 HSPC187	Homo sapiens (Human)
Q99966	Q99966	CITE1_HUMAN	CITED1 MSG1	Homo sapiens (Human)
P11142	P11142	HSP7C_HUMAN	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)
P53350	P53350	PLK1_HUMAN	PLK1 PLK	Homo sapiens (Human)
P51398	P51398	RT29_HUMAN	DAP3 MRPS29	Homo sapiens (Human)
P48729	P48729	KC1A_HUMAN	CSNK1A1	Homo sapiens (Human)
P53355	P53355	DAPK1_HUMAN	DAPK1 DAPK	Homo sapiens (Human)
O14733	O14733	MP2K7_HUMAN	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4	Homo sapiens (Human)
Q9HB75	Q9HB75	PIDD1_HUMAN	PIDD1 LRDD PIDD	Homo sapiens (Human)
Q99836	Q99836	MYD88_HUMAN	MYD88	Homo sapiens (Human)
Q9BV47	Q9BV47	DUS26_HUMAN	DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3	Homo sapiens (Human)
Q9H1Y0	Q9H1Y0	ATG5_HUMAN	ATG5 APG5L ASP	Homo sapiens (Human)
Q15369	Q15369	ELOC_HUMAN	ELOC TCEB1	Homo sapiens (Human)
Q13617	Q13617	CUL2_HUMAN	CUL2	Homo sapiens (Human)
Q15370	Q15370	ELOB_HUMAN	ELOB TCEB2	Homo sapiens (Human)
P40337	P40337	VHL_HUMAN	VHL	Homo sapiens (Human)
Q93034	Q93034	CUL5_HUMAN	CUL5 VACM1	Homo sapiens (Human)
P55036	P55036	PSMD4_HUMAN	PSMD4 MCB1	Homo sapiens (Human)
Q13618	Q13618	CUL3_HUMAN	CUL3 KIAA0617	Homo sapiens (Human)
O94888	O94888	UBXN7_HUMAN	UBXN7 KIAA0794 UBXD7	Homo sapiens (Human)
Q8WXH5	Q8WXH5	SOCS4_HUMAN	SOCS4 SOCS7	Homo sapiens (Human)
O75159	O75159	SOCS5_HUMAN	SOCS5 CIS6 CISH5 CISH6 KIAA0671	Homo sapiens (Human)
Q14241	Q14241	ELOA1_HUMAN	ELOA TCEB3 MSTP059	Homo sapiens (Human)
Q8IYF1	Q8IYF1	ELOA2_HUMAN	ELOA2 TCEB3B TCEB3L	Homo sapiens (Human)
Q8NG57	Q8NG57	ELOA3_HUMAN	ELOA3 TCEB3C TCEB3L2	Homo sapiens (Human)
Q05516	Q05516	ZBT16_HUMAN	ZBTB16 PLZF ZNF145	Homo sapiens (Human)
P61244	P61244	MAX_HUMAN	MAX BHLHD4	Homo sapiens (Human)
P17676	P17676	CEBPB_HUMAN	CEBPB TCF5 PP9092	Homo sapiens (Human)
Q13287	Q13287	NMI_HUMAN	NMI	Homo sapiens (Human)
O15379	O15379	HDAC3_HUMAN	HDAC3	Homo sapiens (Human)
O15350	O15350	P73_HUMAN	TP73 P73	Homo sapiens (Human)
P42771	P42771	CDN2A_HUMAN	CDKN2A CDKN2 MTS1	Homo sapiens (Human)
Q92769	Q92769	HDAC2_HUMAN	HDAC2	Homo sapiens (Human)
P11387	P11387	TOP1_HUMAN	TOP1	Homo sapiens (Human)
P38936	P38936	CDN1A_HUMAN	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	Homo sapiens (Human)
P06730	P06730	IF4E_HUMAN	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)
Q92905	Q92905	CSN5_HUMAN	COPS5 CSN5 JAB1	Homo sapiens (Human)
P28749	P28749	RBL1_HUMAN	RBL1	Homo sapiens (Human)
Q01094	Q01094	E2F1_HUMAN	E2F1 RBBP3	Homo sapiens (Human)
P06400	P06400	RB_HUMAN	RB1	Homo sapiens (Human)
Q02750	Q02750	MP2K1_HUMAN	MAP2K1 MEK1 PRKMK1	Homo sapiens (Human)
Q13309	Q13309	SKP2_HUMAN	SKP2 FBXL1	Homo sapiens (Human)
P19784	P19784	CSK22_HUMAN	CSNK2A2 CK2A2	Homo sapiens (Human)
Q15796	Q15796	SMAD2_HUMAN	SMAD2 MADH2 MADR2	Homo sapiens (Human)
Q15717	Q15717	ELAV1_HUMAN	ELAVL1 HUR	Homo sapiens (Human)
P53779	P53779	MK10_HUMAN	MAPK10 JNK3 JNK3A PRKM10 SAPK1B	Homo sapiens (Human)
Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272	Homo sapiens (Human)
Q6P1J9	Q6P1J9	CDC73_HUMAN	CDC73 C1orf28 HRPT2	Homo sapiens (Human)
O00255	O00255	MEN1_HUMAN	MEN1 SCG2	Homo sapiens (Human)
P49840	P49840	GSK3A_HUMAN	GSK3A	Homo sapiens (Human)
P78545	P78545	ELF3_HUMAN	ELF3 ERT ESX JEN	Homo sapiens (Human)
Q13263	Q13263	TIF1B_HUMAN	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)
Q13526	Q13526	PIN1_HUMAN	PIN1	Homo sapiens (Human)
Q13177	Q13177	PAK2_HUMAN	PAK2	Homo sapiens (Human)
Q96RU2	Q96RU2	UBP28_HUMAN	USP28 KIAA1515	Homo sapiens (Human)
O60381	O60381	HBP1_HUMAN	HBP1	Homo sapiens (Human)
Q14839	Q14839	CHD4_HUMAN	CHD4	Homo sapiens (Human)
P25490	P25490	TYY1_HUMAN	YY1 INO80S	Homo sapiens (Human)
Q13164	Q13164	MK07_HUMAN	MAPK7 BMK1 ERK5 PRKM7	Homo sapiens (Human)
Q53GL7	Q53GL7	PAR10_HUMAN	PARP10	Homo sapiens (Human)
P49715	P49715	CEBPA_HUMAN	CEBPA CEBP	Homo sapiens (Human)
P45984	P45984	MK09_HUMAN	MAPK9 JNK2 PRKM9 SAPK1A	Homo sapiens (Human)
Q969H0	Q969H0	FBXW7_HUMAN	FBXW7 FBW7 FBX30 SEL10	Homo sapiens (Human)
O15169	O15169	AXIN1_HUMAN	AXIN1 AXIN	Homo sapiens (Human)
Q9Y6K1	Q9Y6K1	DNM3A_HUMAN	DNMT3A	Homo sapiens (Human)
Q96AE4	Q96AE4	FUBP1_HUMAN	FUBP1	Homo sapiens (Human)
Q9Y4A5	Q9Y4A5	TRRAP_HUMAN	TRRAP PAF400	Homo sapiens (Human)
Q8TEK3	Q8TEK3	DOT1L_HUMAN	DOT1L KIAA1814 KMT4	Homo sapiens (Human)
O75592	O75592	MYCB2_HUMAN	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)
Q13105	Q13105	ZBT17_HUMAN	ZBTB17 MIZ1 ZNF151 ZNF60	Homo sapiens (Human)
Q9UHX1	Q9UHX1	PUF60_HUMAN	PUF60 FIR ROBPI SIAHBP1	Homo sapiens (Human)
Q01085	Q01085	TIAR_HUMAN	TIAL1	Homo sapiens (Human)
Q96L91	Q96L91	EP400_HUMAN	EP400 CAGH32 KIAA1498 KIAA1818 TNRC12	Homo sapiens (Human)
Q12824	Q12824	SNF5_HUMAN	SMARCB1 BAF47 INI1 SNF5L1	Homo sapiens (Human)
Q01850	Q01850	CDR2_HUMAN	CDR2 PCD17	Homo sapiens (Human)
O00499	O00499	BIN1_HUMAN	BIN1 AMPHL	Homo sapiens (Human)
Q15109	Q15109	RAGE_HUMAN	AGER RAGE	Homo sapiens (Human)
Q8TCG1	Q8TCG1	CIP2A_HUMAN	CIP2A KIAA1524	Homo sapiens (Human)
Q99417	Q99417	MYCBP_HUMAN	MYCBP AMY1	Homo sapiens (Human)
O95278	O95278	EPM2A_HUMAN	EPM2A	Homo sapiens (Human)
B3EWF7	B3EWF7	EP2A2_HUMAN	EPM2A	Homo sapiens (Human)
P62136	P62136	PP1A_HUMAN	PPP1CA PPP1A	Homo sapiens (Human)
P36873	P36873	PP1G_HUMAN	PPP1CC	Homo sapiens (Human)
Q9H4B6	Q9H4B6	SAV1_HUMAN	SAV1 WW45	Homo sapiens (Human)
Q9NS23	Q9NS23	RASF1_HUMAN	RASSF1 RDA32	Homo sapiens (Human)
O95835	O95835	LATS1_HUMAN	LATS1 WARTS	Homo sapiens (Human)
O60346	O60346	PHLP1_HUMAN	PHLPP1 KIAA0606 PHLPP PLEKHE1 SCOP	Homo sapiens (Human)
P62140	P62140	PP1B_HUMAN	PPP1CB	Homo sapiens (Human)
Q6ZVD8	Q6ZVD8	PHLP2_HUMAN	PHLPP2 KIAA0931 PHLPPL	Homo sapiens (Human)
Q8WWW0	Q8WWW0	RASF5_HUMAN	RASSF5 NORE1 RAPL	Homo sapiens (Human)
P26927	P26927	HGFL_HUMAN	MST1 D3F15S2 DNF15S2 HGFL	Homo sapiens (Human)
